"","datestop","crimsusp","frisked","searched","sex","race","age","city"
"59",1012016,"GLA","N","N","M","B","41","BROOKLYN"
"60",1012016,"PETIT LARCENY","Y","N","M","B","17","BRONX"
"61",1012016,"FELONY","Y","N","M","B","31","QUEENS"
"62",1012016,"FEL","Y","N","M","B","37","BRONX"
"63",1012016,"FELONY","Y","N","M","Q","21","QUEENS"
"64",1022016,"CPW","Y","N","M","B","30","MANHATTAN"
"65",1022016,"CPW","Y","N","M","B","29","BROOKLYN"
"66",1022016,"FEL","N","N","M","B","24","BROOKLYN"
"67",1022016,"CPW","Y","N","M","Q","45","BRONX"
"68",1022016,"FEL","Y","N","M","Q","52","BROOKLYN"
"69",1022016,"GLA","N","N","M","P","21","QUEENS"
"70",1022016,"BURGLARY","N","N","M","Q","28","BRONX"
"71",1022016,"FELONY","Y","Y","F","B","24","QUEENS"
"72",1022016,"CPW","Y","Y","M","B","37","QUEENS"
"73",1022016,"FELONY","N","N","M","B","58","MANHATTAN"
"74",1022016,"ROBBERY","N","N","M","B","23","BROOKLYN"
"75",1022016,"FELONY","N","Y","M","B","69","QUEENS"
"76",1022016,"CPW","Y","N","M","Q","37","BRONX"
"77",1022016,"FEL","Y","Y","M","W","52","MANHATTAN"
"78",1022016,"FEL","Y","N","M","B","18","BROOKLYN"
"79",1022016,"FEL","Y","N","M","B","15","BROOKLYN"
"80",1022016,"FEL","Y","N","M","Q","17","BROOKLYN"
"81",1022016,"FEL","Y","N","M","W","17","BROOKLYN"
"82",1022016,"MISD","Y","N","M","B","19","MANHATTAN"
"83",1022016,"MISDEMEANOR","Y","Y","M","B","57","BROOKLYN"
"84",1022016,"MISD","Y","N","M","B","52","BROOKLYN"
"85",1022016,"MISD","Y","Y","M","W","23","MANHATTAN"
"86",1022016,"MISD","Y","N","M","W","29","MANHATTAN"
"87",1022016,"FELONY","N","N","F","B","35","STATEN IS"
"88",1022016,"CPW","Y","N","M","Q","45","STATEN IS"
"89",1022016,"CPW","Y","N","M","Q","20","STATEN IS"
"90",1022016,"CPW","Y","N","M","W","49","STATEN IS"
"91",1022016,"GLA (FEL)","Y","N","M","W","41","BROOKLYN"
"92",1022016,"MISD","Y","Y","M","B","52","BROOKLYN"
"93",1022016,"GLA","Y","Y","M","P","51","BRONX"
"94",1022016,"FELONY","Y","N","M","Q","24","MANHATTAN"
"95",1022016,"MISD","Y","N","M","B","19","BROOKLYN"
"96",1022016,"MISD","Y","Y","M","B","**","BROOKLYN"
"97",1022016,"MISD","Y","Y","M","A","35","BROOKLYN"
"98",1022016,"MISD","Y","N","M","W","35","BROOKLYN"
"99",1022016,"ROBBERY","N","N","F","Q","19","BROOKLYN"
"100",1022016,"ROBBERY","N","N","M","B","25","BROOKLYN"
"101",1022016,"ROBBERY","N","N","M","B","23","BROOKLYN"
"102",1022016,"ROBBERY","N","N","M","B","18","BROOKLYN"
"103",1022016,"ROBBERY","Y","Y","M","B","19","BROOKLYN"
"104",1022016,"ROBBERY","N","N","M","Q","14","BROOKLYN"
"105",1022016,"MISD","Y","Y","M","B","21","BRONX"
"106",1022016,"MISD","Y","Y","M","B","61","BRONX"
"107",1022016,"CPW","Y","N","M","B","23","BROOKLYN"
"108",1022016,"CPW","Y","N","M","B","23","BROOKLYN"
