"date","sex","age","race","boro","crimsusp","frisked","searched","hit"
2017-05-16,"MALE","42","ASIAN/PAC.ISL","MANHATTAN","CPW","Y","Y","Y"
2017-05-18,"MALE","30","BLACK","MANHATTAN","ASSAULT","N","N","Y"
2017-05-27,"MALE","26","BLACK","MANHATTAN","CRIMINAL TRESPASS","Y","N","Y"
2017-05-30,"MALE","26","BLACK","MANHATTAN","CPW","Y","N","N"
2017-06-04,"FEMALE","(null)","BLACK","MANHATTAN","ASSAULT","N","N","Y"
2017-06-06,"MALE","54","WHITE HISPANIC","MANHATTAN","CRIMINAL TRESPASS","Y","Y","Y"
2017-06-09,"MALE","38","WHITE HISPANIC","MANHATTAN","CPW","Y","Y","N"
2017-06-12,"MALE","30","ASIAN/PAC.ISL","MANHATTAN","CRIMINAL TRESPASS","Y","Y","Y"
2017-06-13,"MALE","26","WHITE HISPANIC","MANHATTAN","CRIMINAL TRESPASS","Y","Y","Y"
2017-06-26,"MALE","52","ASIAN/PAC.ISL","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-06-27,"MALE","22","BLACK HISPANIC","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-06-27,"MALE","25","BLACK","MANHATTAN","FORCIBLE TOUCHING","N","N","N"
2017-07-05,"MALE","38","ASIAN/PAC.ISL","MANHATTAN","CRIMINAL TRESPASS","Y","Y","Y"
2017-07-16,"MALE","17","WHITE HISPANIC","MANHATTAN","CRIMINAL TRESPASS","N","N","Y"
2017-07-16,"MALE","16","BLACK HISPANIC","MANHATTAN","CRIMINAL TRESPASS","N","N","Y"
2017-07-23,"MALE","31","WHITE HISPANIC","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-07-26,"MALE","58","ASIAN/PAC.ISL","MANHATTAN","PETIT LARCENY","N","N","N"
2017-07-26,"MALE","30","WHITE HISPANIC","MANHATTAN","PETIT LARCENY","N","N","N"
2017-07-23,"MALE","19","ASIAN/PAC.ISL","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-07-27,"MALE","27","ASIAN/PAC.ISL","MANHATTAN","CRIMINAL MISCHIEF","Y","N","N"
2017-08-03,"MALE","34","BLACK HISPANIC","MANHATTAN","CRIMINAL TRESPASS","N","N","Y"
